3,1.90,-0.06,0.01,8.54,-19.65,3.23
18,0.90,-0.38,-0.05,23.44,-16.05,20.14
33,0.91,-0.20,-0.03,1.40,3.85,-1.04
49,0.97,-0.24,-0.08,2.32,2.75,-1.46
64,1.00,-0.25,-0.09,0.85,3.91,-7.02
79,0.98,-0.26,-0.13,3.11,1.04,-6.10
95,0.99,-0.30,-0.15,4.76,1.46,-1.77
111,1.00,-0.31,-0.25,9.03,0.31,2.32
126,1.03,-0.35,-0.32,17.03,6.10,5.80
141,1.05,-0.35,-0.41,20.02,1.65,7.63
156,1.06,-0.35,-0.43,19.65,-1.40,10.74
171,1.05,-0.34,-0.47,23.19,-7.51,18.01
186,1.05,-0.32,-0.49,29.17,-9.22,21.12
202,1.04,-0.31,-0.47,37.29,-10.01,24.66
217,1.03,-0.31,-0.43,47.06,-13.00,29.97
232,0.99,-0.33,-0.43,49.74,-15.14,32.35
247,0.97,-0.31,-0.37,53.22,-20.14,34.73
262,0.92,-0.28,-0.33,55.24,-23.62,35.64
278,0.83,-0.23,-0.28,59.63,-22.83,33.20
294,0.75,-0.20,-0.26,70.62,-20.45,26.98
310,0.72,-0.19,-0.25,77.21,-10.31,17.58
325,0.66,-0.20,-0.18,91.19,-4.39,12.94
341,0.61,-0.20,-0.11,99.98,3.54,3.42
357,0.58,-0.19,-0.05,99.61,7.02,-5.68
373,0.58,-0.18,-0.01,92.90,4.88,-14.59
388,0.58,-0.18,0.05,82.21,-0.73,-24.05
404,0.59,-0.18,0.06,73.30,-6.96,-33.69
420,0.61,-0.20,0.11,68.91,-9.03,-37.84
435,0.62,-0.21,0.16,62.32,-13.79,-44.13
450,0.62,-0.21,0.26,57.80,-16.11,-50.96
465,0.63,-0.20,0.34,53.41,-15.63,-58.41
480,0.64,-0.21,0.38,50.11,-14.59,-61.95
495,0.65,-0.22,0.43,44.19,-11.96,-69.40
510,0.67,-0.22,0.49,34.91,-8.42,-76.48
525,0.69,-0.21,0.51,23.01,-4.94,-84.29
541,0.70,-0.22,0.53,13.00,0.49,-89.23
556,0.71,-0.27,0.53,8.12,1.89,-92.90
571,0.75,-0.28,0.48,-8.61,9.28,-104.43
586,0.80,-0.31,0.45,-19.41,25.09,-101.56
602,0.85,-0.44,0.48,-25.63,28.44,-98.14
618,0.87,-0.45,0.47,-38.70,25.94,-100.16
634,0.88,-0.48,0.50,-61.22,30.70,-98.94
649,0.97,-0.54,0.52,-60.85,33.33,-98.88
664,1.08,-0.63,0.46,-72.81,39.31,-94.85
679,1.23,-0.66,0.37,-87.40,64.15,-96.92
694,1.32,-0.68,0.35,-92.71,80.99,-86.73
709,1.42,-0.75,0.30,-97.47,83.44,-77.33
725,1.48,-0.74,0.31,-113.83,79.47,-64.21
741,1.48,-0.77,0.30,-125.00,68.97,-56.76
757,1.39,-0.98,0.18,-127.87,67.75,-51.45
772,1.38,-1.20,0.08,-117.49,95.58,-39.98
